rnum,rank,targetDt,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,audiCnt,scrnCnt,showCnt,movieNmEn,genreAlt,repNationNm,repGenreNm
2,2,20170111,NEW,20164421,어쌔신 크리드,2017-01-11 00:00:00,464968400,14.6,60851,540,2383,Assassin's Creed,"액션,어드벤처,판타지,SF",미국,액션
5,5,20170112,OLD,20164421,어쌔신 크리드,2017-01-11 00:00:00,315983100,10,41422,557,2228,Assassin's Creed,"액션,어드벤처,판타지,SF",미국,액션
5,5,20170113,OLD,20164421,어쌔신 크리드,2017-01-11 00:00:00,369295751,9.4,43164,560,2207,Assassin's Creed,"액션,어드벤처,판타지,SF",미국,액션
5,5,20170114,OLD,20164421,어쌔신 크리드,2017-01-11 00:00:00,739527170,8.8,86776,566,2086,Assassin's Creed,"액션,어드벤처,판타지,SF",미국,액션
5,5,20170115,OLD,20164421,어쌔신 크리드,2017-01-11 00:00:00,611068500,7.5,72083,551,1945,Assassin's Creed,"액션,어드벤처,판타지,SF",미국,액션
5,5,20170116,OLD,20164421,어쌔신 크리드,2017-01-11 00:00:00,154133400,6.5,20210,546,1886,Assassin's Creed,"액션,어드벤처,판타지,SF",미국,액션
6,6,20170117,OLD,20164421,어쌔신 크리드,2017-01-11 00:00:00,129974600,5.3,16999,523,1801,Assassin's Creed,"액션,어드벤처,판타지,SF",미국,액션
1,1,20170118,OLD,20151229,더 킹,2017-01-18 00:00:00,2197763200,45.7,288966,1125,5364,The King,"범죄,드라마",한국,범죄
2,2,20170118,OLD,20151228,공조,2017-01-18 00:00:00,1145130100,23.8,151845,900,4126,Confidential Assignment,액션,한국,액션
1,1,20170119,OLD,20151229,더 킹,2017-01-18 00:00:00,1810239800,43.2,238039,1147,5395,The King,"범죄,드라마",한국,범죄
2,2,20170119,OLD,20151228,공조,2017-01-18 00:00:00,1063411600,25.4,141569,918,4157,Confidential Assignment,액션,한국,액션
1,1,20170120,OLD,20151229,더 킹,2017-01-18 00:00:00,2235092100,45.1,261528,1188,5615,The King,"범죄,드라마",한국,범죄
2,2,20170120,OLD,20151228,공조,2017-01-18 00:00:00,1350950693,27.3,160116,938,4217,Confidential Assignment,액션,한국,액션
1,1,20170121,OLD,20151229,더 킹,2017-01-18 00:00:00,4490105729,42.2,524841,1310,6092,The King,"범죄,드라마",한국,범죄
2,2,20170121,OLD,20151228,공조,2017-01-18 00:00:00,2810573092,26.4,333625,976,4221,Confidential Assignment,액션,한국,액션
1,1,20170122,OLD,20151229,더 킹,2017-01-18 00:00:00,4504282600,42.5,525513,1289,5913,The King,"범죄,드라마",한국,범죄
2,2,20170122,OLD,20151228,공조,2017-01-18 00:00:00,2967913800,28,352228,972,4120,Confidential Assignment,액션,한국,액션
1,1,20170123,OLD,20151229,더 킹,2017-01-18 00:00:00,1243052400,38.7,163491,1169,5524,The King,"범죄,드라마",한국,범죄
2,2,20170123,OLD,20151228,공조,2017-01-18 00:00:00,1051594800,32.8,138338,928,4117,Confidential Assignment,액션,한국,액션
1,1,20170124,OLD,20151229,더 킹,2017-01-18 00:00:00,1189158900,36.7,156749,1181,5500,The King,"범죄,드라마",한국,범죄
2,2,20170124,OLD,20151228,공조,2017-01-18 00:00:00,1022534750,31.5,135694,955,4177,Confidential Assignment,액션,한국,액션
1,1,20170125,OLD,20151229,더 킹,2017-01-18 00:00:00,1204847600,31.7,199750,1071,4658,The King,"범죄,드라마",한국,범죄
